"","","Page Name","Page ID","Democrats","Republicans","Candidates Mentioned+","Approx. Spend on Mentions^","# of Ads Mentioning","Sponsor Name(s)","Candidate Page","Approx. Democrat Spend","Approx. Republican Spend"
"3835","⊕","Colleen Mary O'Toole for Ashtabula County Prosecutor","106818354150419","0","1","Donald Trump (1)","$764","1","NA","0","$0","$764"
"3836","⊕","Colleen Mary O'Toole for Ashtabula County Prosecutor","106818354150419","0","1","William O'Brien* (1)","$764","1","NA","0","$0","$764"
"3837","⊕","College Of The Open Bible","139593949518278","0","1","Donald Trump (1)","$1,100","1","NA","0","$0","$1,100"
"3838","⊕","Collier County Republican Men's Club","937095406305280","0","1","Donald Trump (1)","$1,300","1","NA","0","$0","$1,300"
"3839","⊕","Collier County Supervisor of Elections","155211717843350","0","1","Jeff Sessions* (1)","$505","1","NA","0","$0","$505"
"3840","⊕","Color Of Change","36474716066","0","1","Donald Trump (8), John Cornyn* (1), Thom Tillis* (1)","$3,090","10","COLOROFCHANGE.ORG","0","$0","$3,090"
"3841","⊕","Color Of Change PAC","1552675688372326","0","1","Donald Trump (3255)","$136,851","3,255","COLOR OF CHANGE, PRIORITIES USA ACTION; COLOR OF CHANGE PAC","0","$0","$136,851"
"3842","⊕","Colorado Children's Campaign","34676619985","0","1","Cory Gardner* (25)","$668","25","NA","0","$0","$668"
"3843","⊕","Colorado Citizens Coalition","387028015007642","0","1","Donald Trump (2)","$196","2","NA","0","$0","$196"
"3844","⊕","Colorado Ocean Coalition","174216899273772","0","1","Cory Gardner* (16), Donald Trump (14)","$349","30","NA","0","$0","$349"
"3845","⊕","Colorado River District","376421181998","0","1","Jeff Sessions* (4)","$23,074","4","NA","0","$0","$23,074"
"3846","⊕","Colorado Sierra Club","118034888251353","0","1","Cory Gardner* (83)","$3,588","83","COLORADO SIERRA CLUB","0","$0","$3,588"
"3847","⊕","Colorado Values Project","109784593135271","0","1","Donald Trump (25), Mitch McConnell* (12)","$447","37","NA","0","$0","$447"
"3848","⊕","Colorado Way","1037157259782946","0","1","Cory Gardner* (42), Donald Trump (33)","$11,135","75","THE COLORADO WAY","0","$0","$11,135"
"3849","⊕","Colton Moore","1805642669732730","0","1","Roy Moore* (40), Donald Trump (5)","$3,168","45","COLTON CHASE MOORE, COLTON MOORE, COLTON MOORE FOR SENATE","1","$0","$3,168"
"3850","⊕","Columbia Riverkeeper","276552284164","0","1","Donald Trump (3)","$820","3","COLUMBIA RIVERKEEPER","0","$0","$820"
"3851","⊕","Comedians Helping America","129001598891479","0","1","Donald Trump (4)","$1,200","4","NA","0","$0","$1,200"
"3852","⊕","Comer for Congress","1536224546606718","0","1","Donald Trump (4)","$78","4","COMER, JAMES","1","$0","$78"
"3853","⊕","Command Custom","107689080977381","0","1","Donald Trump (1)","$200","1","NA","0","$0","$200"
"3854","⊕","Commissioner Cindy Bobbitt","110224624048047","0","1","Donald Trump (1)","$227","1","NA","0","$0","$227"
"3855","⊕","Commissioner Daniella Levine Cava","1508673619418479","0","1","Donald Trump (3)","$322","3","NA","0","$0","$322"
"3856","⊕","Commissioner David Borrero","486493981740493","0","1","Donald Trump (6)","$462","6","NA","0","$0","$462"
"3857","⊕","Commissioner John Lindsey","2214106588833675","0","1","Donald Trump (3)","$137","3","NA","0","$0","$137"
"3858","⊕","Commissioner Kent Leonhardt","615507678479268","0","1","Donald Trump (2)","$6,100","2","NA","0","$0","$6,100"
"3859","⊕","Committee Against Killing Americans","111340847384689","0","1","Donald Trump (1)","$500","1","NA","0","$0","$500"
"3860","⊕","Committee to Elect Carole C. Boyce","107658714154159","0","1","Jeff Sessions* (1)","$226","1","NA","0","$0","$226"
"3861","⊕","Committee to Elect David Watkins","109651190618365","0","1","Joni Ernst* (10)","$1,562","10","NA","0","$0","$1,562"
"3862","⊕","Committee to Elect Jon Rutan, Sheriff of Hillsdale County.","256749791043087","0","1","Donald Trump (3)","$170","3","NA","0","$0","$170"
"3863","⊕","Committee to Elect Tamara F. Mitchell","100958191701518","0","1","Donald Trump (1)","$4,100","1","NA","0","$0","$4,100"
"3864","⊕","Committee to Elect Teresa English 2020","105059857958044","0","1","Donald Trump (1)","$2,600","1","NA","0","$0","$2,600"
"3865","⊕","Committee to Elect Tracy Taylor For State Senate","113594240341412","0","1","Scott Taylor* (11)","$4,200","11","COMMITTEE TO ELECT TRACY TAYLOR","1","$0","$4,200"
"3866","⊕","Common Cause","10803722213","0","1","Donald Trump (242), Cory Gardner* (111), David Perdue* (3), John Cornyn* (3), Joni Ernst* (3), Kelly Loeffler* (3), Lindsey Graham* (3), Martha McSally* (3), Steve Daines* (3), Susan Collins* (3), Thom Tillis* (3)","$3,472","380","COMMON CAUSE","0","$0","$3,472"
"3867","⊕","Common Cause Hawaii","178027172248691","0","1","Donald Trump (1)","$169","1","NA","0","$0","$169"
"3868","⊕","Common Defense","1066463660056620","0","1","Donald Trump (115), Mitch McConnell* (26), John Cornyn* (13), Lindsey Graham* (13), Susan Collins* (13)","$503","180","COMMON DEFENSE ACTION FUND","0","$0","$503"
"3869","⊕","Common Roots Cafe","17280263441","0","1","Donald Trump (1)","$32","1","NA","0","$0","$32"
"3870","⊕","Common Sense Civics and Citizenship","502969216761221","0","1","Donald Trump (1)","$147","1","CANDACE DONNELLY, CANDACE DONNELLY, COMMON SENSE CIVICS AND CITIZENSHIP","0","$0","$147"
"3871","⊕","Commonwealth Club of California","108879409056","0","1","Donald Trump (1)","$47","1","COMMONWEALTH CLUB OF CALIFORNIA","0","$0","$47"
"3872","⊕","Commonwealth Communications","100863158148988","0","1","Donald Trump (158), Mitch McConnell* (48)","$10,276","206","NA","0","$0","$10,276"
"3873","⊕","Commonwealth Educational Opportunities PAC","148168000309073","0","1","Donald Trump (7)","$217","7","NA","0","$0","$217"
"3874","⊕","Communications Workers of America - Next Generation","201031876608118","0","1","Donald Trump (1)","$209","1","COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC","0","$0","$209"
"3875","⊕","Communist Party USA","53167307346","0","1","Donald Trump (13), Lindsey Graham* (2)","$419","15","NA","0","$0","$419"
"3876","⊕","Community Action Fund of PPOSBC","158366860920495","0","1","Donald Trump (9)","$156","9","COMMUNITY ACTION FUND OF PPOSBC","0","$0","$156"
"3877","⊕","Community Alliance Newspaper","147659788596394","0","1","Donald Trump (2)","$294","2","COMMUNITY ALLIANCE","0","$0","$294"
"3878","⊕","Community Church of God, Macon","1442721639345613","0","1","Jason Lewis* (2)","$200","2","NA","0","$0","$200"
"3879","⊕","Community Homeless Solutions","1599270760311473","0","1","Jeff Sessions* (2)","$229","2","COMMUNITY HOMELESS SOLUTIONS","0","$0","$229"
"3880","⊕","Compass Colorado","300551229961201","0","1","Cory Gardner* (25)","$12,139","25","NA","0","$0","$12,139"
"3881","⊕","Compassionate St. Augustine","221440761244659","0","1","Jeff Sessions* (1)","$8,700","1","NA","0","$0","$8,700"
"3882","⊕","Concerned Conservatives","102148244592873","0","1","Donald Trump (140)","$8,411","140","CONCERNED CONSERVATIVES INC","0","$0","$8,411"
"3883","⊕","Concerned Parents of Seminole County","107891117637753","0","1","Donald Trump (8)","$618","8","NA","0","$0","$618"
"3884","⊕","Concerned Veterans for America","158791100909689","0","1","Donald Trump (52), Bill Cassidy* (1), Susan Collins* (1)","$110,634","54","CONCERNED VETERANS FOR AMERICA","0","$0","$110,634"
"3885","⊕","Concerned Veterans for America - Montana","868006153350258","0","1","Steve Daines* (1)","$2,900","1","NA","0","$0","$2,900"
"3886","⊕","Conchtastic Key West","281526691991292","0","1","Scott Taylor* (1)","$100","1","NA","0","$0","$100"
"3887","⊕","Concordia Nation","740165132859112","0","1","Donald Trump (1)","$900","1","NA","0","$0","$900"
"3888","⊕","Confide in American Pride","102137374563260","0","1","Donald Trump (1)","$32,022","1","NA","0","$0","$32,022"
"3889","⊕","Congressman Bob Gibbs","191159267565100","0","1","Donald Trump (1)","$473","1","GIBBS, ROBERT","0","$0","$473"
"3890","⊕","Congressman Dan Bishop","109906667085581","0","1","Bill Cassidy* (2), Donald Trump (2), Thom Tillis* (2), Joni Ernst* (1)","$223","7","BISHOP, JAMES DANIEL","0","$0","$223"
"3891","⊕","Congressman Dan Meuser","797471897260701","0","1","Donald Trump (1)","$103","1","MEUSER, DANIEL","0","$0","$103"
"3892","⊕","Congressman Daniel Webster","188572961157305","0","1","Donald Trump (2)","$851","2","WEBSTER, DANIEL","1","$0","$851"
"3893","⊕","Congressman Guy Reschenthaler","1955556614754164","0","1","Donald Trump (1)","$146","1","RESCHENTHALER, GUY MR.","0","$0","$146"
"3894","⊕","Congressman James Comer","1888216188065538","0","1","Donald Trump (4)","$174","4","COMER, JAMES","0","$0","$174"
"3895","⊕","Congressman Jared Golden","219597368974078","0","1","Steve Daines* (2)","$467","2","OFFICE OF CONGRESSMAN JARED GOLDEN","0","$0","$467"
"3896","⊕","Congressman Jason Smith","544741092252764","0","1","Donald Trump (1)","$10","1","SMITH, JASON T","0","$0","$10"
"3897","⊕","Congressman Jim Hagedorn","316341622318073","0","1","Donald Trump (2)","$121","2","HAGEDORN, JAMES","0","$0","$121"
"3898","⊕","Congressman Matt Gaetz","674764996035495","0","1","Donald Trump (3)","$207","3","GAETZ, MATT","0","$0","$207"
"3899","⊕","Congressman Michael Cloud","168300694037224","0","1","Donald Trump (1), John Cornyn* (1)","$79","2","CLOUD, MICHAEL","0","$0","$79"
"3900","⊕","Congressman Raja Krishnamoorthi","1844412109137727","0","1","Donald Trump (3)","$447","3","KRISHNAMOORTHI, S. RAJA","0","$0","$447"
"3901","⊕","Congressman Roger Marshall, M.D.","232404617204556","0","1","Scott Taylor* (4), Mitch McConnell* (1)","$49","5","MARSHALL, ROGER W","0","$0","$49"
"3902","⊕","Congressman Steve Watkins","303060840551495","0","1","Donald Trump (7)","$325","7","WATKINS, STEVEN C. JR.","0","$0","$325"
"3903","⊕","Congressman Steven Palazzo","186908658003781","0","1","Donald Trump (1)","$352","1","PALAZZO, STEVEN MCCARTY","0","$0","$352"
"3904","⊕","Congressman Ted Deutch","112179098816942","0","1","Donald Trump (1)","$91","1","DEUTCH, THEODORE ELIOT","0","$0","$91"
"3905","⊕","Congressman TJ Cox","1006110349586564","0","1","Donald Trump (10)","$308","10","COX, TERRENCE JOHN (TJ)","0","$0","$308"
"3906","⊕","Congresswoman Barbara Lee","92190287786","0","1","Mitch McConnell* (2)","$29","2","LEE, BARBARA","0","$0","$29"
"3907","⊕","Congresswoman Debbie Lesko","590393634664831","0","1","Donald Trump (1)","$22","1","LESKO, DEBBIE","1","$0","$22"
"3908","⊕","Conley for House","111852506957133","0","1","Shelley Moore Capito* (1)","$300","1","NA","0","$0","$300"
"3909","⊕","Connecticut HDCC","300879470268608","0","1","Donald Trump (4)","$233","4","NA","0","$0","$233"
"3910","⊕","Connecticut Progressives","1622060458065565","0","1","Donald Trump (12)","$1,042","12","NA","0","$0","$1,042"
"3911","⊕","Connecticut Republican Party","274000798088","0","1","Donald Trump (2)","$31","2","CONNECTICUT REPUBLICAN PARTY","0","$0","$31"
"3912","⊕","ConnecticutEast","543055672532190","0","1","Daniel S. Sullivan* (1)","$10,600","1","NA","0","$0","$10,600"
"3913","⊕","Conner Graham for RPEC","115279950241957","0","1","Donald Trump (1)","$700","1","NA","0","$0","$700"
"3914","⊕","Conor Lamb","135002490472474","0","1","Donald Trump (71)","$908","71","LAMB, CONOR","1","$0","$908"
"3915","⊕","Conrad Schesventer for Virginia Beach","495493144226281","0","1","Donald Trump (2), Scott Taylor* (1)","$875","3","NA","0","$0","$875"
"3916","⊕","Conrado Muluc","1286887271419374","0","1","Scott Taylor* (1)","$300","1","NA","0","$0","$300"
"3917","⊕","Conservation Colorado","404929222888251","0","1","Cory Gardner* (415), Donald Trump (14)","$33,154","429","CONSERVATION COLORADO","0","$0","$33,154"
"3918","⊕","Conservation Law Foundation","14413545701","0","1","Donald Trump (4)","$253","4","CONSERVATION LAW FOUNDATION","0","$0","$253"
"3919","⊕","Conservation Northwest","7890108747","0","1","Donald Trump (3)","$442","3","CONSERVATION NORTHWEST","0","$0","$442"
"3920","⊕","Conservation Voters for Idaho","106653911825","0","1","Jim Risch* (1)","$29","1","CONSERVATION VOTERS FOR IDAHO","0","$0","$29"
"3921","⊕","Conservative Battleground Fund","100440478490074","0","1","Donald Trump (4)","$523","4","NA","0","$0","$523"
"3922","⊕","Conservative Business Journal","313531915961331","0","1","Donald Trump (5)","$2,293","5","NA","0","$0","$2,293"
"3923","⊕","Conservative Caucus Lee County","1306331802840896","0","1","Donald Trump (7)","$1,084","7","NA","0","$0","$1,084"
"3924","⊕","Conservative Collections","737686089933715","0","1","Donald Trump (11981)","$192,922","11,981","NA","0","$0","$192,922"
"3925","⊕","Conservative Leadership Fund","220972125208178","0","1","Donald Trump (2)","$9","2","NA","0","$0","$9"
"3926","⊕","Conservative Leadership of the Ozarks","110038217436810","0","1","Donald Trump (4)","$975","4","NA","0","$0","$975"
"3927","⊕","Conservative News","1898234727131235","0","1","Donald Trump (1)","$200","1","NA","0","$0","$200"
"3928","⊕","Conservative Opinions","104599351408796","0","1","Donald Trump (1)","$200","1","NA","0","$0","$200"
"3929","⊕","Conservative Renaissance","187098348542611","","","Donald Trump (1)","$0","1","NA","0","$0","$0"
"3930","⊕","Conservative Roots","101730114882420","0","1","Donald Trump (5)","$2,078","5","NA","0","$0","$2,078"
"3931","⊕","Conservative Texans for Energy Innovation Foundation","289185555043843","0","1","John Cornyn* (1)","$19","1","NA","0","$0","$19"
"3932","⊕","ConservativeCo","101717981513636","0","1","Donald Trump (2)","$400","2","NA","0","$0","$400"
"3933","⊕","Conservatives for a Great Broken Arrow","844218765940191","0","1","Donald Trump (2)","$611","2","NA","0","$0","$611"
"3934","⊕","Conservatives for Yes on National Popular Vote","104123887850629","0","1","Donald Trump (1)","$208","1","NA","0","$0","$208"
"3935","⊕","Conservatives In The Know","105643341187586","0","1","Donald Trump (1)","$3,200","1","NA","0","$0","$3,200"
"3936","⊕","Conservitee","103193811265114","0","1","Donald Trump (3)","$448","3","NA","0","$0","$448"
"3937","⊕","ConserviTees","100776045100923","0","1","Donald Trump (1)","$500","1","NA","0","$0","$500"
"3938","⊕","Conspiracy Watch","105580597787605","0","1","Donald Trump (9)","$4,118","9","NA","0","$0","$4,118"
"3939","⊕","Constitutional Accountability Center (CAC)","40043524983","0","1","Donald Trump (3)","$460","3","CONSTITUTIONAL ACCOUNTABILITY CENTER","0","$0","$460"
"3940","⊕","Consumer Action for a Strong Economy","340528409646227","","","Joseph Biden (1)","$0","1","NA","0","$0","$0"
"3941","⊕","Consumer Reports Advocacy","17274984050","0","1","Donald Trump (2)","$281","2","CONSUMER REPORTS","0","$0","$281"
"3942","⊕","Consumers for Affordable Health Care","119868384733982","0","1","Susan Collins* (5), Doug Collins* (1), Jeff Sessions* (1)","$953","7","NA","0","$0","$953"
"3943","⊕","Consumers for Quality Care","260244824449371","0","1","Donald Trump (3)","$4,470","3","NA","0","$0","$4,470"
"3944","⊕","Convention of States","342887442508723","0","1","Donald Trump (6), Mitch McConnell* (2)","$347","8","NA","0","$0","$347"
"3945","⊕","Convention on Founding Principles","102478061559294","0","1","Donald Trump (62)","$54,850","62","NA","0","$0","$54,850"
"3946","⊕","Conversations on Health Care Radio Show","149223915089170","0","1","Donald Trump (2)","$1,200","2","NA","0","$0","$1,200"
"3947","⊕","Conversations with Bill Kristol","1425435377743310","0","1","Donald Trump (26)","$313","26","THE FOUNDATION FOR CONSTITUTIONAL GOVERNMENT","0","$0","$313"
"3948","⊕","Cook Inletkeeper","212824105404256","0","1","Daniel S. Sullivan* (4), Donald Trump (3)","$189","7","NA","0","$0","$189"
"3949","⊕","Cooking With Hope","128191957875317","0","1","Donald Trump (2)","$41,182","2","NA","0","$0","$41,182"
"3950","⊕","Cool Mud Flaps","110257623864359","0","1","Donald Trump (11)","$12,593","11","OHIO LASER, LLC","0","$0","$12,593"
"3951","⊕","Corey Bailey for Congress","104767791245968","0","1","Donald Trump (2)","$382","2","BAILEY, COREY RYAN MR.","1","$0","$382"
"3952","⊕","Corky Mazurek for State Representative","111237380629308","0","1","Bryant Messner* (3)","$600","3","","1","$0","$600"
"3953","⊕","Cornel Rasor for Idaho State Representative","107722980842029","0","1","Donald Trump (1)","$234","1","NA","0","$0","$234"
"3954","⊕","Corpus Christi Football Club","127593717851537","0","1","Jeff Sessions* (1)","$200","1","NA","0","$0","$200"
"3955","⊕","Corrupt Kelvin","108014424362790","0","1","Mitch McConnell* (4)","$1,615","4","","0","$0","$1,615"
"3956","⊕","Corrupt Thom Tillis","104987704684453","0","1","Thom Tillis* (2)","$56,742","2","DEMOCRATIC SENATORIAL CAMPAIGN CMTE","0","$0","$56,742"
"3957","⊕","Corson for Upper Township Committee","102289114883045","0","1","Donald Trump (1)","$4,700","1","NA","0","$0","$4,700"
"3958","⊕","Council Member Deni Taveras","446329622182734","0","1","Jeff Sessions* (1)","$11","1","NA","0","$0","$11"
"3959","⊕","Council Member Tyler Dunegan","460942770606432","0","1","Donald Trump (1)","$6,500","1","NA","0","$0","$6,500"
"3960","⊕","Councilman Jason Pu","121663737990302","0","1","Donald Trump (1)","$168","1","NA","0","$0","$168"
"3961","⊕","Count Me 2020: San Diego and Imperial Counties Census Outreach Coalition","709344336128181","0","1","Donald Trump (1)","$404","1","NA","0","$0","$404"
"3962","⊕","Countere","105954117720297","0","1","Donald Trump (2)","$600","2","NA","0","$0","$600"
"3963","⊕","Counterpoint Press","262610761306","0","1","Donald Trump (1)","$160","1","COUNTERPOINT PRESS","0","$0","$160"
"3964","⊕","County Executive Matt Meyer","545313338963764","0","1","Donald Trump (3), Donald Trump (3), Susan Collins* (2)","$1,654","8","NA","0","$0","$1,654"
"3965","⊕","County Executive Matt Meyer","545313338963764","0","1","Donald Trump (3), Donald Trump (3), Joseph Biden (2)","$1,654","8","NA","0","$0","$1,654"
"3966","⊕","County Legislator Bill Ricard","281223952055715","0","1","Jeff Sessions* (1)","$45","1","NA","0","$0","$45"
"3967","⊕","Courage To Resist","244616355592590","0","1","Donald Trump (1)","$93","1","NA","0","$0","$93"
"3968","⊕","Court Appointed Special Advocates (CASA) of New Hampshire","336750795186","0","1","Jeff Sessions* (1)","$100","1","NA","0","$0","$100"
"3969","⊕","Court Theatre","10722141996","0","1","Jeff Sessions* (4)","$100","4","NA","0","$0","$100"
"3970","⊕","Covid-19 World Report","112636197064663","0","1","Donald Trump (1)","$300","1","NA","0","$0","$300"
"3971","⊕","Craig Brown For Mayor","109485893717036","0","1","Donald Trump (5)","$529","5","NA","0","$0","$529"
"3972","⊕","Craig Carter","188150798413745","0","1","Derrick Grayson* (3)","$2,219","3","NA","0","$0","$2,219"
"3973","⊕","Craig Huey","292944530749151","0","0.67","Donald Trump (12), Justin Amash* (6)","$57","18","NA","0","$0","$38"
"3974","⊕","Craig Immel Is Running for Mayor. Here's Why.","100284208399279","0","1","Donald Trump (1)","$75","1","NA","0","$0","$75"
"3975","⊕","Creative Collective for Issue Advocacy","385628488916063","0","1","Donald Trump (11), Daniel McCarthy* (1)","$308","12","NA","0","$0","$308"
"3976","⊕","Creative Concrete Surfaces","101450118347672","0","1","Donald Trump (1)","$500","1","NA","0","$0","$500"
"3977","⊕","CreativeFuture","104933662932387","0","1","Thom Tillis* (5)","$1,085","5","CREATIVEFUTURE","0","$0","$1,085"
"3978","⊕","Creole Doodles","252948775500231","0","1","Donald Trump (3)","$696","3","NA","0","$0","$696"
"3979","⊕","Crescent City Retirement Group, LLC.","290696107697797","0","1","Donald Trump (21)","$1,903","21","NA","0","$0","$1,903"
"3980","⊕","Cris Dosev for State House District 2","102242718218662","0","1","Donald Trump (13)","$1,646","13","NA","0","$0","$1,646"
"3981","⊕","Crit-Large","958453811009727","0","1","Donald Trump (1)","$227","1","NA","0","$0","$227"
"3982","⊕","Crooked Columbia","335347887171557","0","1","Susan Collins* (4), Lindsey Graham* (1)","$1,476","5","NA","0","$0","$1,476"
"3983","⊕","Cross Church Phoenix","1712829885669617","0","1","Donald Trump (2)","$800","2","NA","0","$0","$800"
"3984","⊕","Crowdsource The Truth","1331354320209243","0","1","Donald Trump (1)","$36","1","NA","0","$0","$36"
"3985","⊕","Crusader Outlet","2176472882580975","0","1","Donald Trump (4)","$3,152","4","NA","0","$0","$3,152"
"3986","⊕","Crystal Chappell for State Representative","1580271308686954","0","1","Mitch McConnell* (2)","$1,083","2","NA","0","$0","$1,083"
"3987","⊕","CT Immigrant & Refugee Coalition","570820956735766","0","1","Donald Trump (1)","$202","1","NA","0","$0","$202"
"3988","⊕","Cuba Great Again","103316257862246","0","1","Donald Trump (18)","$441","18","NA","0","$0","$441"
"3989","⊕","CultureGear","394619014370080","0","1","Scott Taylor* (2)","$100","2","NA","0","$0","$100"
"3990","⊕","Curt's Shirts","1730917013891778","0","1","Donald Trump (2)","$361","2","NA","0","$0","$361"
"3991","⊕","Custom Creationz","127685903997498","0","1","Donald Trump (4)","$479","4","NA","0","$0","$479"
"3992","⊕","CVA_Action","325778468178035","0","1","Thom Tillis* (10), Steve Daines* (9), John Cornyn* (6)","$31,115","25","AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)","0","$0","$31,115"
"3993","⊕","CWS","30079936984","0","1","Jeff Sessions* (2), Donald Trump (1)","$18","3","CHURCH WORLD SERVICE INC","0","$0","$18"
"3994","⊕","Cyber Ohr of New York City","104196971118462","0","1","Donald Trump (2)","$280","2","NA","0","$0","$280"
"3995","⊕","Cyberworks Studio","389786695116","0","1","Donald Trump (2)","$1,300","2","NA","0","$0","$1,300"
"3996","⊕","D. Romero Law","346787002360015","0","1","Donald Trump (1)","$100","1","NA","0","$0","$100"
"3997","⊕","D. Trump Apparel","109398357537129","0","1","Donald Trump (8)","$1,100","8","JAMES DAVID ADAMS","0","$0","$1,100"
"3998","⊕","D'Amato's Seafood","755053264579289","0","1","Donald Trump (1)","$200","1","NA","0","$0","$200"
"3999","⊕","D2 Designs","103342268150615","0","1","Donald Trump (1)","$600","1","NA","0","$0","$600"
"4000","⊕","Daily Bite of News","102555331598079","0","1","Donald Trump (1)","$600","1","NA","0","$0","$600"
"4001","⊕","Daily Future Planning","100645125013049","0","1","Donald Trump (5)","$284","5","NA","0","$0","$284"
"4002","⊕","Dakota Leadership PAC","111123410592662","0","1","Donald Trump (106)","$4,193","106","DAKOTA LEADERSHIP PAC","0","$0","$4,193"
"4003","⊕","Dakota Skies Bingo","1541910565868514","0","1","Jeff Sessions* (2)","$100","2","NA","0","$0","$100"
"4004","⊕","Dale Mabry","1137113289698709","0","1","Donald Trump (4)","$4,800","4","NA","0","$0","$4,800"
"4005","⊕","Dale Phillips for Mayor","102711044826569","0","1","John Merrill* (2)","$219","2","NA","0","$0","$219"
"4006","⊕","Dalisay Pure","101604387990736","0","1","Donald Trump (2)","$400","2","NA","0","$0","$400"
"4007","⊕","Dallas City Wire","109725597242974","0","1","Donald Trump (2)","$13,302","2","NA","0","$0","$13,302"
"4008","⊕","Dalton for House","105829890888882","0","1","Shelley Moore Capito* (4)","$773","4","NA","0","$0","$773"
"4009","⊕","Damnthedemocrats","203420943084617","0","1","Donald Trump (16)","$5,784","16","NA","0","$0","$5,784"
"4010","⊕","Dan Ahlers for U.S. Senate","122314407789282","0","1","Mike Rounds* (1)","$267","1","AHLERS, DAN","1","$0","$267"
"4011","⊕","Dan Bishop","708346842676287","0","1","Donald Trump (1)","$6","1","BISHOP, JAMES DANIEL","1","$0","$6"
"4012","⊕","Dan Carr","1126467634031036","0","1","Donald Trump (3)","$55","3","NA","0","$0","$55"
"4013","⊕","Dan Carter","100289406783527","0","1","Donald Trump (2)","$6,845","2","NA","0","$0","$6,845"
"4014","⊕","Dan Caulkins Illinois State Representative","112308579466064","0","1","Donald Trump (1)","$55","1","COMMITTEE TO ELECT DAN CAULKINS","0","$0","$55"
"4015","⊕","Dan Feltes for Governor","265043653699570","0","1","Donald Trump (7), Donald Trump (7), Jeanne Shaheen* (4)","$727","18","NA","0","$0","$727"
"4016","⊕","Dan Feltes for Governor","265043653699570","0","1","Donald Trump (6), Donald Trump (6)","$727","12","NA","0","$0","$727"
"4017","⊕","Dan Harrington for State Representative","108475830697841","0","1","Donald Trump (1)","$126","1","NA","0","$0","$126"
"4018","⊕","Dan Helmer","1444298848974547","0","1","Donald Trump (2), Mitch McConnell* (2)","$10","4","NA","0","$0","$10"
"4019","⊕","Dan Johnston","541376839360057","0","1","Donald Trump (4)","$311","4","NA","0","$0","$311"
"4020","⊕","Dan Lauzon for House of Representatives","818240858302275","0","1","Daniel McCarthy* (1)","$605","1","NA","0","$0","$605"
"4021","⊕","Dan Lewallen for Commissioner District 4","104768617840904","0","0","Dan Whitfield* (6)","$2,600","6","NA","0","$0","$0"
"4022","⊕","Dan Mayfield For Senate","490146091123057","0","1","Daniel McCarthy* (4)","$8,500","4","JAMES DANIEL MAYFIELD","1","$0","$8,500"
"4023","⊕","Dan McEntire for State Senate","532567290599890","0","0","Dan Whitfield* (2)","$165","2","NA","0","$0","$0"
"4024","⊕","Dan Meuser for Congress","265302400637965","0","1","Donald Trump (4), Daniel S. Sullivan* (1)","$30","5","MEUSER, DANIEL","1","$0","$30"
"4025","⊕","Dan O'Connell","103578521311812","0","1","Daniel McCarthy* (7), Donald Trump (3)","$1,036","10","NA","0","$0","$1,036"
"4026","⊕","Dan Patrick","114833761835","0","1","Donald Trump (3)","$2","3","NA","0","$0","$2"
"4027","⊕","Dan Schwartz","362556243875747","0","1","Donald Trump (10)","$404","10","SCHWARTZ, DAN","1","$0","$404"
"4028","⊕","Dan Severson for Congress","105558304230226","0","1","Donald Trump (4)","$308","4","SEVERSON, DANIEL MARK","1","$0","$308"
"4029","⊕","Dan Sheppard For Cape Coral City Council District 2","469836390045787","0","1","Donald Trump (3)","$549","3","NA","0","$0","$549"
"4030","⊕","Dan Stacy","649897105090551","0","1","Donald Trump (2)","$133","2","NA","0","$0","$133"
"4031","⊕","Dan Whitfield for Senate 2020","357844454633380","0","1","Tom Cotton* (16), Daniel McCarthy* (2)","$2,623","18","WHITFIELD, DANIEL ALLEN","1","$0","$2,623"
"4032","⊕","Dan Wilson for Congress","110437930502469","0","1","Doug Collins* (56)","$1,634","56","WILSON, DAN CAROLL MR.","1","$0","$1,634"
"4033","⊕","Dana Balter","317510461992641","0","1","Donald Trump (32)","$590","32","BALTER, DANA","1","$0","$590"
"4034","⊕","Dana Ferguson for US Congress","1862511410671222","0","1","Donald Trump (11)","$809","11","FERGUSON, DANA","1","$0","$809"
"4035","⊕","Dana Ferrell for 39th House","535252106916766","0","1","Donald Trump (1)","$65","1","NA","0","$0","$65"
"4036","⊕","Dana For Ohio","1226232907525101","0","1","Donald Trump (1)","$454","1","NA","0","$0","$454"
"4037","⊕","Dane Eagle","155443277896065","0","1","Donald Trump (22)","$1,584","22","EAGLE, DANE","1","$0","$1,584"
"4038","⊕","Dani Kwak Lembo for Ridgewood Board of Education","103310371273586","0","1","Jeff Sessions* (1)","$42","1","NA","0","$0","$42"
"4039","⊕","Daniel Horton-Diaz for Florida Senate","859687267490695","0","1","Daniel McCarthy* (111), Donald Trump (2)","$11,400","113","DANIEL HORTON-DIAZ, DEMOCRAT FOR FLORIDA SENATE","1","$0","$11,400"
"4040","⊕","Daniel Perez","473091003036233","0","1","Donald Trump (4)","$109","4","NA","0","$0","$109"
"4041","⊕","Daniel Sparks","1426913564268681","0","1","Daniel McCarthy* (18), Robert Marshall* (2)","$410","20","SPARKS4SENATE","1","$0","$410"
"4042","⊕","Daniele Marques Haddad 4 Republican State CommitteeWoman","118534896602427","0","1","Donald Trump (18)","$1,799","18","NA","0","$0","$1,799"
